[2022-08-11 12:51:17,745][numexpr.utils][INFO] - Note: NumExpr detected 48 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2022-08-11 12:51:17,745][numexpr.utils][INFO] - NumExpr defaulting to 8 threads.
[2022-08-11 12:52:38,099][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:38,675][PML][INFO] - TRAINING EPOCH 9
[2022-08-11 12:52:45,159][PML][INFO] - Evaluating epoch 9
[2022-08-11 12:52:45,159][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:52:47,173][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:52:47,174][PML][INFO] - running k-nn with k=46
[2022-08-11 12:52:47,174][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:47,340][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:52:47,340][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:47,882][PML][INFO] - New best accuracy! 0.28561345543077793
[2022-08-11 12:52:48,092][PML][INFO] - TRAINING EPOCH 10
[2022-08-11 12:52:54,516][PML][INFO] - Evaluating epoch 10
[2022-08-11 12:52:54,517][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:52:56,503][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:52:56,504][PML][INFO] - running k-nn with k=46
[2022-08-11 12:52:56,504][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:56,669][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:52:56,669][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:57,249][PML][INFO] - TRAINING EPOCH 11
[2022-08-11 12:53:03,707][PML][INFO] - Evaluating epoch 11
[2022-08-11 12:53:03,708][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:53:05,634][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:53:05,635][PML][INFO] - running k-nn with k=46
[2022-08-11 12:53:05,635][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:05,801][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:53:05,801][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:06,381][PML][INFO] - New best accuracy! 0.2979338289310075
[2022-08-11 12:53:06,590][PML][INFO] - TRAINING EPOCH 12
[2022-08-11 12:53:13,096][PML][INFO] - Evaluating epoch 12
[2022-08-11 12:53:13,096][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:53:15,088][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:53:15,090][PML][INFO] - running k-nn with k=46
[2022-08-11 12:53:15,090][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:15,255][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:53:15,255][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:15,792][PML][INFO] - New best accuracy! 0.29803494903608313
[2022-08-11 12:53:16,001][PML][INFO] - TRAINING EPOCH 13
[2022-08-11 12:53:22,484][PML][INFO] - Evaluating epoch 13
[2022-08-11 12:53:22,485][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:53:24,577][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:53:24,579][PML][INFO] - running k-nn with k=46
[2022-08-11 12:53:24,579][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:24,745][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:53:24,745][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:25,308][PML][INFO] - TRAINING EPOCH 14
[2022-08-11 12:53:31,788][PML][INFO] - Evaluating epoch 14
[2022-08-11 12:53:31,788][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:53:33,877][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:53:33,879][PML][INFO] - running k-nn with k=46
[2022-08-11 12:53:33,879][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:34,044][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:53:34,044][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:34,584][PML][INFO] - New best accuracy! 0.3034842669730356
[2022-08-11 12:53:34,793][PML][INFO] - TRAINING EPOCH 15
[2022-08-11 12:53:41,289][PML][INFO] - Evaluating epoch 15
[2022-08-11 12:53:41,290][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:53:43,227][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:53:43,228][PML][INFO] - running k-nn with k=46
[2022-08-11 12:53:43,228][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:43,393][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:53:43,393][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:43,968][PML][INFO] - New best accuracy! 0.30735460963788747
[2022-08-11 12:53:44,178][PML][INFO] - TRAINING EPOCH 16
[2022-08-11 12:53:50,632][PML][INFO] - Evaluating epoch 16
[2022-08-11 12:53:50,633][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:53:52,575][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:53:52,577][PML][INFO] - running k-nn with k=46
[2022-08-11 12:53:52,577][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:52,742][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:53:52,742][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:53:53,320][PML][INFO] - TRAINING EPOCH 17
[2022-08-11 12:53:59,963][PML][INFO] - Evaluating epoch 17
[2022-08-11 12:53:59,963][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:54:01,947][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:54:01,948][PML][INFO] - running k-nn with k=46
[2022-08-11 12:54:01,948][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:02,114][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:54:02,114][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:02,692][PML][INFO] - New best accuracy! 0.3120817664170663
[2022-08-11 12:54:02,902][PML][INFO] - TRAINING EPOCH 18
[2022-08-11 12:54:09,356][PML][INFO] - Evaluating epoch 18
[2022-08-11 12:54:09,356][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:54:11,236][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:54:11,237][PML][INFO] - running k-nn with k=46
[2022-08-11 12:54:11,238][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:11,404][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:54:11,404][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:11,940][PML][INFO] - New best accuracy! 0.3155845111835868
[2022-08-11 12:54:12,149][PML][INFO] - TRAINING EPOCH 19
[2022-08-11 12:54:18,634][PML][INFO] - Evaluating epoch 19
[2022-08-11 12:54:18,634][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:54:20,611][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:54:20,612][PML][INFO] - running k-nn with k=46
[2022-08-11 12:54:20,612][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:20,777][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:54:20,778][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:21,317][PML][INFO] - TRAINING EPOCH 20
[2022-08-11 12:54:27,804][PML][INFO] - Evaluating epoch 20
[2022-08-11 12:54:27,805][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:54:29,743][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:54:29,744][PML][INFO] - running k-nn with k=46
[2022-08-11 12:54:29,744][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:29,910][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:54:29,910][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:30,449][PML][INFO] - New best accuracy! 0.3222428498084553
[2022-08-11 12:54:30,657][PML][INFO] - TRAINING EPOCH 21
[2022-08-11 12:54:37,143][PML][INFO] - Evaluating epoch 21
[2022-08-11 12:54:37,144][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:54:39,260][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:54:39,262][PML][INFO] - running k-nn with k=46
[2022-08-11 12:54:39,262][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:39,427][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:54:39,428][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:40,003][PML][INFO] - TRAINING EPOCH 22
[2022-08-11 12:54:46,520][PML][INFO] - Evaluating epoch 22
[2022-08-11 12:54:46,520][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:54:48,389][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:54:48,390][PML][INFO] - running k-nn with k=46
[2022-08-11 12:54:48,390][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:48,556][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:54:48,557][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:49,097][PML][INFO] - TRAINING EPOCH 23
[2022-08-11 12:54:55,561][PML][INFO] - Evaluating epoch 23
[2022-08-11 12:54:55,561][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:54:57,585][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:54:57,586][PML][INFO] - running k-nn with k=46
[2022-08-11 12:54:57,587][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:57,752][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:54:57,753][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:54:58,294][PML][INFO] - TRAINING EPOCH 24
[2022-08-11 12:55:04,803][PML][INFO] - Evaluating epoch 24
[2022-08-11 12:55:04,804][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:55:06,787][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:55:06,788][PML][INFO] - running k-nn with k=46
[2022-08-11 12:55:06,788][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:06,954][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:55:06,954][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:07,534][PML][INFO] - TRAINING EPOCH 25
[2022-08-11 12:55:14,054][PML][INFO] - Evaluating epoch 25
[2022-08-11 12:55:14,055][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:55:15,973][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:55:15,974][PML][INFO] - running k-nn with k=46
[2022-08-11 12:55:15,974][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:16,140][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:55:16,140][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:16,680][PML][INFO] - TRAINING EPOCH 26
[2022-08-11 12:55:23,136][PML][INFO] - Evaluating epoch 26
[2022-08-11 12:55:23,136][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:55:25,058][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:55:25,059][PML][INFO] - running k-nn with k=46
[2022-08-11 12:55:25,060][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:25,225][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:55:25,225][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:25,765][PML][INFO] - New best accuracy! 0.3253201622735291
[2022-08-11 12:55:25,972][PML][INFO] - TRAINING EPOCH 27
[2022-08-11 12:55:32,439][PML][INFO] - Evaluating epoch 27
[2022-08-11 12:55:32,440][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:55:34,517][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:55:34,518][PML][INFO] - running k-nn with k=46
[2022-08-11 12:55:34,518][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:34,684][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:55:34,684][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:35,265][PML][INFO] - TRAINING EPOCH 28
[2022-08-11 12:55:41,784][PML][INFO] - Evaluating epoch 28
[2022-08-11 12:55:41,784][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:55:43,825][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:55:43,827][PML][INFO] - running k-nn with k=46
[2022-08-11 12:55:43,827][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:43,993][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:55:43,993][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:44,533][PML][INFO] - TRAINING EPOCH 29
[2022-08-11 12:55:51,005][PML][INFO] - Evaluating epoch 29
[2022-08-11 12:55:51,006][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:55:52,997][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:55:52,998][PML][INFO] - running k-nn with k=46
[2022-08-11 12:55:52,999][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:53,165][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:55:53,165][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:55:53,749][PML][INFO] - New best accuracy! 0.327562587456301
[2022-08-11 12:55:53,957][PML][INFO] - TRAINING EPOCH 30
[2022-08-11 12:56:00,427][PML][INFO] - Evaluating epoch 30
[2022-08-11 12:56:00,427][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:56:02,397][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:56:02,398][PML][INFO] - running k-nn with k=46
[2022-08-11 12:56:02,398][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:02,563][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:56:02,563][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:03,148][PML][INFO] - New best accuracy! 0.3285777130696829
[2022-08-11 12:56:03,356][PML][INFO] - TRAINING EPOCH 31
[2022-08-11 12:56:09,875][PML][INFO] - Evaluating epoch 31
[2022-08-11 12:56:09,876][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:56:11,916][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:56:11,918][PML][INFO] - running k-nn with k=46
[2022-08-11 12:56:11,918][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:12,084][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:56:12,084][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:12,621][PML][INFO] - TRAINING EPOCH 32
[2022-08-11 12:56:19,079][PML][INFO] - Evaluating epoch 32
[2022-08-11 12:56:19,080][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:56:21,230][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:56:21,231][PML][INFO] - running k-nn with k=46
[2022-08-11 12:56:21,231][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:21,395][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:56:21,395][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:22,121][PML][INFO] - New best accuracy! 0.33055441360446775
[2022-08-11 12:56:22,329][PML][INFO] - TRAINING EPOCH 33
[2022-08-11 12:56:28,794][PML][INFO] - Evaluating epoch 33
[2022-08-11 12:56:28,794][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:56:30,790][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:56:30,791][PML][INFO] - running k-nn with k=46
[2022-08-11 12:56:30,791][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:30,958][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:56:30,958][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:31,497][PML][INFO] - TRAINING EPOCH 34
[2022-08-11 12:56:37,944][PML][INFO] - Evaluating epoch 34
[2022-08-11 12:56:37,944][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:56:39,883][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:56:39,885][PML][INFO] - running k-nn with k=46
[2022-08-11 12:56:39,885][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:40,050][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:56:40,051][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:40,628][PML][INFO] - New best accuracy! 0.3351329944840777
[2022-08-11 12:56:40,837][PML][INFO] - TRAINING EPOCH 35
[2022-08-11 12:56:47,321][PML][INFO] - Evaluating epoch 35
[2022-08-11 12:56:47,322][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:56:49,450][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:56:49,451][PML][INFO] - running k-nn with k=46
[2022-08-11 12:56:49,451][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:49,621][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:56:49,621][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:50,230][PML][INFO] - TRAINING EPOCH 36
[2022-08-11 12:56:56,677][PML][INFO] - Evaluating epoch 36
[2022-08-11 12:56:56,678][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:56:58,659][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:56:58,660][PML][INFO] - running k-nn with k=46
[2022-08-11 12:56:58,660][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:58,827][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:56:58,827][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:56:59,408][PML][INFO] - TRAINING EPOCH 37
[2022-08-11 12:57:05,960][PML][INFO] - Evaluating epoch 37
[2022-08-11 12:57:05,961][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:57:07,970][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:57:07,971][PML][INFO] - running k-nn with k=46
[2022-08-11 12:57:07,971][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:08,138][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:57:08,138][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:08,677][PML][INFO] - New best accuracy! 0.337306449807256
[2022-08-11 12:57:08,884][PML][INFO] - TRAINING EPOCH 38
[2022-08-11 12:57:15,397][PML][INFO] - Evaluating epoch 38
[2022-08-11 12:57:15,398][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:57:17,379][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:57:17,381][PML][INFO] - running k-nn with k=46
[2022-08-11 12:57:17,381][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:17,548][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:57:17,549][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:18,155][PML][INFO] - TRAINING EPOCH 39
[2022-08-11 12:57:24,613][PML][INFO] - Evaluating epoch 39
[2022-08-11 12:57:24,614][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:57:26,585][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:57:26,586][PML][INFO] - running k-nn with k=46
[2022-08-11 12:57:26,586][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:26,751][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:57:26,752][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:27,289][PML][INFO] - New best accuracy! 0.33829461863938187
[2022-08-11 12:57:27,497][PML][INFO] - TRAINING EPOCH 40
[2022-08-11 12:57:33,967][PML][INFO] - Evaluating epoch 40
[2022-08-11 12:57:33,967][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:57:36,016][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:57:36,018][PML][INFO] - running k-nn with k=46
[2022-08-11 12:57:36,018][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:36,184][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:57:36,184][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:36,723][PML][INFO] - New best accuracy! 0.3397025210163114
[2022-08-11 12:57:36,932][PML][INFO] - TRAINING EPOCH 41
[2022-08-11 12:57:43,361][PML][INFO] - Evaluating epoch 41
[2022-08-11 12:57:43,362][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:57:45,325][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:57:45,327][PML][INFO] - running k-nn with k=46
[2022-08-11 12:57:45,327][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:45,494][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:57:45,495][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:46,035][PML][INFO] - New best accuracy! 0.3403924951155152
[2022-08-11 12:57:46,245][PML][INFO] - TRAINING EPOCH 42
[2022-08-11 12:57:52,728][PML][INFO] - Evaluating epoch 42
[2022-08-11 12:57:52,728][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:57:54,727][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:57:54,729][PML][INFO] - running k-nn with k=46
[2022-08-11 12:57:54,729][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:54,895][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:57:54,895][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:57:55,434][PML][INFO] - TRAINING EPOCH 43
[2022-08-11 12:58:01,955][PML][INFO] - Evaluating epoch 43
[2022-08-11 12:58:01,955][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:58:03,989][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:58:03,990][PML][INFO] - running k-nn with k=46
[2022-08-11 12:58:03,990][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:58:04,156][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:58:04,157][PML][INFO] - embedding dimensionality is 128
